FalseNegativeRate	FalsePositiveRate	RMSE
0	0	0.6405126152203485
0	20	0.5991446895152781
0	40	0.5547001962252291
0	60	0.5310850045437944
0	80	0.5927489783638191
0	100	8.051914886120775
20	0	1.4540583599999397
20	20	1.7320508075688772
20	40	2.0150945537631877
20	60	2.5778210353557482
20	80	3.5203490086718876
20	100	22.02271554554524
40	0	2.0816659994661326
40	20	2.537222891273055
40	40	2.7141603981096374
40	60	3.3733233383160273
40	80	4.620189806290846
40	100	24.336187047275914
60	0	2.729764257811617
60	20	2.960855732160327
60	40	3.4987682561645643
60	60	4.268749491621899
60	80	5.381294763654314
60	100	26.353367906208877
80	0	2.988868236194653
80	20	3.3886219353432825
80	40	3.8393672318157765
80	60	4.510671108178233
80	80	5.728715546977509
80	100	25.826343140289914
100	0	3.383530088837539
100	20	3.760699023168052
100	40	4.163331998932265
100	60	4.73462423711393
100	80	6.320960801535274
100	100	28.853076092507017
